day_of_week_num,day_of_week,mean,median,count,seasonal_index,dimension
0,Monday,44.575289575289574,42.0,259,0.9161935198691906,weekday
1,Tuesday,42.11494252873563,40.0,261,0.8656239320513782,weekday
2,Wednesday,44.63706563706564,43.0,259,0.9174632553666274,weekday
3,Thursday,45.37837837837838,42.0,259,0.9327000813358681,weekday
4,Friday,52.957692307692305,51.0,260,1.088484112651308,weekday
5,Saturday,58.92664092664093,56.0,259,1.211168947617461,weekday
6,Sunday,52.038910505836576,50.0,257,1.0695996154095762,weekday
